Name,Grade,Action,Industry,Country,Ownership
Sharp Group,Suspension,suspend shipping into Russia,Information Technology,Japan,
Sherwin Williams,Suspension,suspend business,Industrials,United States,
Shiseido,Suspension,suspend export shipments to Russia,Consumer Staples,Japan,
Siemens Energy AG,Suspension,Sold factory and stake in russian Companies,Industrials,Germany,
Sigma Group,Suspension,suspend business,Industrials,Czech Republic,
Simba Dickie Group,Suspension,suspend all business in Russia including with local independent distributor,Consumer Discretionary,Germany,
Skytrax,Suspension,suspend all audit and rating analysis,NGO,United Kingdom,
Smartway Pharmaceuticals,Suspension,"suspended all operations, most supplies, and all advertising",Health Care,United Kingdom,
Sodeca,Suspension,cut off all supplies to Russian partners,Industrials,Spain,
Solvay,Suspension,suspend operations in Russia,Materials,Belgium,
SonoSim,Suspension,suspend distributor relationship in Russia,Health Care,United States,
Sony,Suspension,"pause release of new films in Russia, suspending console and game sales in Russia",Consumer Discretionary,Japan,
Sportradar,Suspension,"suspend all new investments in Russia, including signing new customers",Consumer Discretionary,Switzerland,
Spotify,Suspension,closed office and suspend service,Communication Services,Sweden,
SriLankan Airlines,Suspension,suspend flights between Sri Lanka and Russia,Industrials,Sri Lanka,
SSAB,Suspension,shipments and sales to Russia discontinued,Materials,Sweden,
Stellantis,Suspension,suspend operations in Russia,Consumer Discretionary,Netherlands,
STIHL,Suspension,suspend deliveries to Russia,Consumer Discretionary,Germany,
Storytel,Suspension,pause operations in Russia,Communication Services,Sweden,
Subaru,Suspension,suspend all shipments to Russia,Consumer Discretionary,Japan,
Sumitomo Group,Suspension,scaling back or suspending all Russian-related business,Financials,Japan,
Supercell,Suspension,remove games from app stores in Russia,Information Technology,Finland,
Swagelok,Suspension,Suspended business in Russia,Industrials,United States,
Swarovski,Suspension,suspend all sales in Russia,Consumer Discretionary,Liechtenstein,
Swatch,Suspension,suspend direct operations in Russia,Consumer Discretionary,Switzerland,
Sweco,Suspension,stop all projects in Russia,Industrials,Sweden,
Synopsys,Suspension,suspend all operations in Russia,Information Technology,United States,
Systemair,Suspension,suspend all sales to Russia,Industrials,Sweden,
T Machinery,Suspension,Stopped cooperation,Industrials,Czech Republic,
Tadano,Suspension,suspension of shipments into Russia,Industrials,Japan,
Take-Two Interactive,Suspension,"halt sales, marketing and more in Russia",Communication Services,United States,
Talgo,Suspension,"Ended activity, service center still exists",Industrials,Spain,
Tanin,Suspension,goods are stopped,Materials,Slovenia,
Tata Motors,Suspension,Paused sales of Jaguar Land Rover in Russia,Consumer Discretionary,India,
Tendam,Suspension,suspend activity in Russia,Consumer Discretionary,Spain,
Thales,Suspension,Suspended business in Russia,Industrials,France,
The Navigator Company,Suspension,suspend all marketing in Russia,Materials,Portugal,
Thermo Fisher,Suspension,suspend sales and manufacturing in Russia,Health Care,United States,
TikTok,Suspension,suspend operations in Russia,Communication Services,United States,
Timken,Suspension,suspend operations in Russia,Industrials,United States,
Torm,Suspension,effectively suspend shipments to Russia,Industrials,Denmark,
Tous,Suspension,close shops and online store in Russia,Consumer Discretionary,Spain,
Trelleborg Group,Suspension,suspended deliveries and sales to Russia,Industrials,Sweden,
Triumph,Suspension,suspend Russian business,Consumer Discretionary,Switzerland,
TSMC,Suspension,suspend all shipments to Russia,Information Technology,Taiwan,
TTC Holding,Suspension,suspended activities,Real Estate,Czech Republic,
Twin Disc,Suspension,suspend all shipments to Russia,Industrials,United States,
Twitter,Suspension,suspend certain operations in Russia,Communication Services,United States,
Ubisoft,Suspension,suspend new sales to Russia,Information Technology,France,
UiPath,Suspension,suspend sales in Russia,Information Technology,United States,
UL,Suspension,stop all work in Russia & Belarus and not take on or pursue any new customer orders,Industrials,United States,
Under Armour,Suspension,suspend all shipments to Russia,Consumer Discretionary,United States,
Uniqlo/Fast Retailing,Suspension,suspend operations in Russia,Consumer Discretionary,Japan,
Universal Music Group,Suspension,Suspended all operations in Russia and closed offices,Consumer Discretionary,Netherlands,
UPM,Suspension,temporarily suspend operations and sales in Russia,Materials,Finland,
UPS,Suspension,suspend all shipments to Russia,Industrials,United States,
Upwork,Suspension,suspend operations in Russia,Industrials,United States,
Valero Energy,Suspension,suspend purchases of Russian oil,Energy,United States,
Vattenfall,Suspension,shifting energy purchases away from Russia,Utilities,Sweden,
Veeam,Suspension,pause sales in Russia,Information Technology,United States,
Vesuvius,Suspension,Suspend deliveries to Russian customers,Industrials,United Kingdom,
VF Corporation,Suspension,temporarily suspend commercial activities,Consumer Discretionary,United States,
Victoria’s Secret,Suspension,"stop exports to Russia, pause sales in Russia by franchisers, suspend online sales",Consumer Discretionary,United States,
Viessmann,Suspension,stop business with Russia & stop deliveries to and from Russia,Industrials,Germany,
Vietnam Airlines,Suspension,suspend flights to Russia,Industrials,Vietnam,
Viking River Cruises,Suspension,cease all operations in Russia & cancel trips to Russia up to 2024,Consumer Discretionary,Switzerland,
Villeroy & Boch,Suspension,Suspended business in the region until further notice,Consumer Discretionary,Germany,
Visa,Suspension,suspend operations in Russia,Information Technology,United States,
Vitec Group,Suspension,suspend all exports and services,Consumer Discretionary,United Kingdom,
Viva,Suspension,Suspended purchases of Russian oil,Energy,Australia,
VMWare,Suspension,suspend operations in Russia,Information Technology,United States,
Volkswagen,Suspension,suspend all shipments to Russia,Consumer Discretionary,Germany,
Volvo Cars,Suspension,suspend all shipments to Russia,Industrials,Sweden,
Volvo Group,Suspension,"suspend all sales, service and production",Industrials,Sweden,
WarnerMedia,Suspension,pause new content releases,Communication Services,United States,
Waters Corporation,Suspension,suspend all sales and services into Russia,Health Care,United States,
WEKA,Suspension,suspend business and concrete deals with Russia,Information Technology,Israel,
Western Union,Suspension,suspend operations in Russia,Information Technology,United States,
WeTransfer,Suspension,suspend all services in Russia,Information Technology,United States,
Wielton,Suspension,suspended Russian exports,Industrials,Poland,
William Grant & Sons,Suspension,Suspend all shipments to Russia,Consumer Staples,United Kingdom,
Wimbledon,Suspension,Ban Russian athletes,NGO,United Kingdom,
Wintershall Dea AG,Suspension,intends to fully exit Russia,Energy,Germany,
Wise PLC,Suspension,Suspend Russian partnerships,Information Technology,United Kingdom,
Wizz Air,Suspension,Air flights to/from Russia are temporarily suspended,Industrials,Hungary,
Wolffkran,Suspension,Stop production in Russia; maintain personnel,Industrials,Switzerland,
World Boxing Council,Suspension,Suspend Russia from title fights,NGO,Mexico,
World Federation of Exchanges,Suspension,Suspend all Russian members and affiliates,NGO,United Kingdom,
Woseba,Suspension,suspends deliveries to Russia,Consumer Staples,Poland,
Wrangler (Kontoor),Suspension,Suspend online sales,Consumer Discretionary,United States,
Würth,Suspension,Stop exports to Russia,Consumer Discretionary,Germany,
WWE,Suspension,Suspend all operations in Russia,Communication Services,United States,
Xerox,Suspension,Suspend shipments to Russia,Information Technology,United States,
Yanmar,Suspension,suspend operations,Consumer Discretionary,Japan,
Yara,Suspension,Suspend all imports from Russia,Materials,Norway,
YKK Group,Suspension,Suspend operations in Russia,Industrials,Japan,
YOOX,Suspension,Suspend commercial activities,Consumer Discretionary,Italy,
_abka,Suspension,Halts orders from Russia & Belarus,Consumer Staples,Poland,
Zegna Group,Suspension,Suspended all shipments to and production for Russia partners,Consumer Discretionary,Italy,
Zendesk,Suspension,Suspend all sales to Russia,Information Technology,United States,
Zetor,Suspension,suspend all cooperation with Russia,Industrials,Czech Republic,
ZHA,Suspension,suspend operations in Russia,Industrials,United Kingdom,
Zynga,Suspension,"suspend all installations, monetization and marketing support",Communication Services,United States,
AAK,Withdrawl,Exited Russia.,Consumer Staples,Sweden,
Aarsleff,Withdrawl,Withdrew from Russia,Industrials,Danish,
AB InBev,Withdrawl,sold stake in joint ventures and suspend using its license in Russia,Consumer Staples,Belgium,
ABB,Withdrawl,Exited Market,Industrials,Switzerland,
Accenture,Withdrawl,exiting Russia completely,Information Technology,Ireland,
Accountor,Withdrawl,withdrawal from Russia,Information Technology,Finland,
Acerinox,Withdrawl,Ceased Operations,Materials,Spain,
Acronis,Withdrawl,suspend operations in Russia,Information Technology,Switzerland,
Adenza,Withdrawl,discontinue all operations in Russia,Information Technology,United Kingdom,
Adidas,Withdrawl,Permently winding down business,Consumer Discretionary,Germany,
AECOM,Withdrawl,exit Russia operations,Industrials,United States,
Aegon,Withdrawl,Sold exposure,Financials,Netherlands,
AerCap,Withdrawl,cease leasing activity with Russian airlines,Industrials,Ireland,
AFRY,Withdrawl,Fully exit Russia after selling its operations,Industrials,Sweden,
AG Barr,Withdrawl,cut ties with Russian market,Consumer Staples,United Kingdom,
Agilent,Withdrawl,Fully stop all business in Russia,Information Technology,United States,
Agrokoncernas,Withdrawl,Fully stop all business in Russia,Industrials,Lithuania,
Aimbridge | Interstate Hotels,Withdrawl,Suspended all operations,Consumer Discretionary,United States,
Air Lease,Withdrawl,Fully stop all business in Russia,Industrials,United States,
Air Liquide,Withdrawl,Withdrawal from Russia,Materials,France,
Air Products,Withdrawl,full divestiture from Russia,Materials,United States,
AirBaltic,Withdrawl,leave Russian market until further notice,Industrials,Latvia,
Akvelon,Withdrawl,close offices in Moscow,Information Technology,United States,
Alcoa,Withdrawl,"cease buying raw materials from, or selling our products to, Russian businesses",Materials,United States,
Aldi,Withdrawl,remove products from Russia,Consumer Staples,Germany,
Allegro,Withdrawl,bans Russian & Belarussian products,Consumer Discretionary,Poland,
Allen & Overy,Withdrawl,wind down Russian operations,Industrials,United Kingdom,
Amedia,Withdrawl,Fully exit Russia after selling its operations,Communication Services,Norway,
American Airlines,Withdrawl,end agreements with Russian airlines,Industrials,United States,
Ametek,Withdrawl,closing TPM Russia subsidiary due to war in Ukraine,Industrials,United States,
AmRest,Withdrawl,Fully exit Russia after selling its operations,Consumer Discretionary,Spain,
Amsted Rail,Withdrawl,exit Russia completely,Industrials,United States,
Amway,Withdrawl,Ceased operations in Russia,Consumer Staples,United States,
Ansell,Withdrawl,Fully exit Russia after selling its operations,Industrials,Australia,
AP7,Withdrawl,sell off  all of Russian shares,Financials,Sweden,
APG,Withdrawl,sell all Russian investment,Financials,Netherlands,
Arconic,Withdrawl,Exited Russia,Materials,United States,
Arendt & Medernach,Withdrawl,pull out of Russia; close Russian office and suspend select Russian client engagements,Industrials,Luxembourg,
Arrival,Withdrawl,Fully exit Russia after selling its operations,Consumer Discretionary,United Kingdom,
Asda,Withdrawl,remove products from Russia,Consumer Staples,United Kingdom,
Asics,Withdrawl,Ceased all business operations in Russia,Consumer Discretionary,Japan,
Aspo,Withdrawl,Exited Russia Market,Industrials,Finland,
Assicurazioni Generali,Withdrawl,exit Russia completely,Financials,Italy,
Atos,Withdrawl,exit from Russia,Information Technology,France,
Atria,Withdrawl,exit business in Russia,Consumer Staples,Finland,
Autogrill,Withdrawl,Fully exit Russia after selling its operations,Consumer Discretionary,Italy,
Avantor,Withdrawl,"Discontinued all sales into Russia, direct and indirect",Health Care,United States,
Avaya,Withdrawl,Left Russia,Information Technology,United States,
Avery Dennison,Withdrawl,exit Russian operations,Materials,United States,
Avid,Withdrawl,"cease all sales and support to all customers, users and resellers in Russia & Belarus",Information Technology,United States,
Aviva,Withdrawl,Exited all equity and debt positions,Financials,United Kingdom,
AVL,Withdrawl,"Stopped on business, initiated divestment process",Industrials,Austria,
Badoo,Withdrawl,Fully stop all business in Russia,Industrials,United Kingdom,
Baker Botts,Withdrawl,wind down Moscow office,Industrials,United States,
Baker Hughes,Withdrawl,no longer provide engineering services to Russian LNG developers,Energy,United States,
Baker McKenzie,Withdrawl,cease operations in Russia and transfer them to an independent entity,Industrials,United States,
Baker Tilly,Withdrawl,gradual wind down of operations in Russia,Financials,United Kingdom,
Bakoma,Withdrawl,withdraw from Russia completely prior to aggression,Consumer Staples,Poland,
Ball Corporation,Withdrawl,leave Russia completely,Materials,United States,
BaseTrack,Withdrawl,Fully exit Russia after selling its operations,Information Technology,Estonia,
BASF SE,Withdrawl,wind down Russian operations,Materials,Germany,
BBDO,Withdrawl,exit Russian operations,Industrials,United States,
Beam Suntory,Withdrawl,Fully exit Russia after selling its operations,Consumer Staples,Japan,
Bellona,Withdrawl,Fully exit Russia after selling its operations,NGO,Norway,
Bentley Systems,Withdrawl,Ended operations in Russia,Information Technology,United States,
Bestseller,Withdrawl,stop all sales to Russia through distributors,Consumer Discretionary,Denmark,
Bet356,Withdrawl,Fully stop all business in Russia,Consumer Discretionary,United Kingdom,
BioMar,Withdrawl,No longer doing business in Russia,Industrials,Danish,
BlackRock,Withdrawl,curtail Russian access to capital markets,Financials,United States,
Blockchain.com,Withdrawl,Fully stop all business in Russia,Information Technology,Luxembourg,
Bonava,Withdrawl,close operations in Russia,Real Estate,Sweden,
Booking,Withdrawl,Suspended operations in Russia,Consumer Discretionary,United States,
Boreo,Withdrawl,Fully exit Russia after selling its operations,Industrials,Finland,
Bose,Withdrawl,stop all product shipments,Information Technology,United States,
Boskalis,Withdrawl,exit Russian  Arctic LNG 2 project,Industrials,Netherlands,
Breitling SA,Withdrawl,Fully exit Russia after selling its operations,Consumer Discretionary,Switzerland,
Bristol-Myers Squibb,Withdrawl,transfer business and exit completely,Health Care,United States,
British American Tobacco,Withdrawl,exit Russian operations,Consumer Staples,United Kingdom,
British Petroleum (BP),Withdrawl,Will divest from 20% Rosneft stake,Energy,United Kingdom,
British Standards Institution (BSI),Withdrawl,terminate all contractual relations & discontinue services in Russia,Industrials,United Kingdom,
Broadridge Financial Solutions,Withdrawl,Fully exit Russia after selling its operations,Financials,United States,
Brunel,Withdrawl,Fully exit Russia after selling its operations,Industrials,Netherlands,
Bryan Cave,Withdrawl,exit Russian operations; local partners and counsel form new firms,Industrials,United States,
BSI,Withdrawl,Fully stop all business in Russia,Industrials,United Kingdom,
Bumble,Withdrawl,remove apps from app stores,Communication Services,United States,
Bunge,Withdrawl,Sold Russian Business,Consumer Staples,United States,
Cadence,Withdrawl,terminate operations in Russia,Information Technology,United States,
Calrec,Withdrawl,Cease all commercial activity with Russia,Consumer Discretionary,United Kingdom,
Canara,Withdrawl,Fully exit Russia after selling its operations,Financials,India,
Canva,Withdrawl,withdraw from Russia,Information Technology,Australia,
Cargotec,Withdrawl,Ramped Down Business,Industrials,Finland,
Carnival,Withdrawl,discontinue Russia itineraries,Consumer Discretionary,United States,
Caverion,Withdrawl,Withdrew from Russia,Industrials,Finland,
CBC,Withdrawl,Cease all reporting from Russia and all presence,Communication Services,Canada,
CCC,Withdrawl,Left Russia. Sold Subsidary,Consumer Discretionary,Poland,
CD Projekt,Withdrawl,Halts all sales of products in Russia & Belarus,Communication Services,Poland,
Centrica,Withdrawl,exit gas supply partnership with Gazprom,Utilities,United Kingdom,
CERN,Withdrawl,Will end cooperation with Russia in 2024,NGO,Switzerland,
CFA Institute,Withdrawl,Cease all business in Russia,NGO,United States,
Chanel,Withdrawl,Stopped selling in Russia and to those with intent to sell in Russia,Consumer Discretionary,France,
Chapman Freeborn,Withdrawl,Cease business operation in Russia,Industrials,United Kingdom,
Charles Schwab,Withdrawl,Limit access to Russian capital markets,Financials,United States,
Ciech,Withdrawl,suspended Russian exports,Materials,Poland,
Cisco,Withdrawl,orderly wind down Russian operations,Information Technology,United States,
Clarivate,Withdrawl,exit Russian operations,Industrials,United Kingdom,
Cleaves,Withdrawl,Fully stop all business in Russia,Financials,Norway,
Clifford Chance,Withdrawl,wind down operations in Moscow; local partners and counsels form own firm,Industrials,United Kingdom,
CMA CGM,Withdrawl,Completes Russia Exit,Industrials,France,
CMS,Withdrawl,transfer Russian practice to local partners and counsel,Industrials,Germany,
Colliers,Withdrawl,discontinue business in Russia,Real Estate,Canada,
Columbus,Withdrawl,Withdrew from Russia,Information Technology,Denmark,
Comarch,Withdrawl,halts orders from Russia & Belarus,Information Technology,Poland,
Commvault,Withdrawl,fully wind down Russian business,Information Technology,United States,
Compass Group,Withdrawl,permanently exit Russian market,Consumer Staples,United Kingdom,
Compass Mining,Withdrawl,Terminate all Russian partnerships and business,Financials,United States,
Coop,Withdrawl,fully divest Russian operations Transgourmet via management buyout,Financials,Switzerland,
Corteva,Withdrawl,Stoped production and business activities in Russia,Consumer Staples,United States,
Coty,Withdrawl,wind down Russian business,Consumer Staples,United States,
Covestro,Withdrawl,Ceased Business Activity in Russia,Materials,Germany,
CRH,Withdrawl,withdrawal from Russia,Materials,Ireland,
Cummins,Withdrawl,exit Russian operations,Industrials,United States,
Currency.com,Withdrawl,halting operations for residents of Russian,Financials,United Kingdom,
Cushman & Wakefield,Withdrawl,close office in Russia; transfer to local partner,Real Estate,United States,
Cyfrowy Polsat,Withdrawl,removing Russian TV channels from the offer,Communication Services,Poland,
Daikin,Withdrawl,End all Russian business,Industrials,Japan,
Danfoss,Withdrawl,exit Russia completely,Industrials,Denmark,
DDB,Withdrawl,exit Russian operations,Materials,United States,
Dechert,Withdrawl,close Russian office,Industrials,United States,
Deezer,Withdrawl,discontinue services in Russia,Communication Services,France,
Deichmann,Withdrawl,withdraw from Russia,Consumer Discretionary,Germany,
Dell,Withdrawl,Ceased all operations,Information Technology,United States,
Deloitte,Withdrawl,leaving Russia completely; local office launched own firm,Industrials,United States,
Delta Air Lines,Withdrawl,withdraw codeshare services with Aeroflot,Industrials,United States,
Dentsu International,Withdrawl,divest joint venture/leave Russia,Communication Services,United Kingdom,
Deugro,Withdrawl,Fully exit Russia after selling its operations,Industrials,Germany,
Deutsche Bank,Withdrawl,wind down business in Russia,Financials,Germany,
Deutsche Telekom,Withdrawl,close Russian business,Communication Services,Germany,State-owned
Digicert,Withdrawl,Fully stop all business in Russia,Information Technology,United States,
Dino Polska,Withdrawl,removed Russian products,Consumer Staples,Poland,
DLA Piper,Withdrawl,withdrawing from Russia,Industrials,United States,
DMG Mori,Withdrawl,Withdrew business in Russia,Industrials,Japan,
Docker,Withdrawl,End all business in Russia,Information Technology,United States,
Donaldson Company,Withdrawl,Terminated Operations,Industrials,United States,
DPD,Withdrawl,withdrawal from the Russian market,Industrials,Germany,
Dr. Oetker,Withdrawl,stops sales and production in Russia; transferred ownership of production facilities,Consumer Staples,Germany,
Draftkings,Withdrawl,Limit business access in Russia,Consumer Discretionary,United States,
Duisburger Hafen,Withdrawl,End all shipments with Russia and Belarus,Industrials,Germany,
DWS,Withdrawl,End Russian products,Financials,Germany,
DXC Technology,Withdrawl,leaving Russia completely,Information Technology,United States,
EarthDaily Analytics,Withdrawl,terminate operations in Russia,Industrials,United States,
Eastnine,Withdrawl,Fully exit Russia after selling its operations,Industrials,Sweden,
Edeka,Withdrawl,remove Russian food from store shelves,Consumer Staples,Germany,
edX (2U),Withdrawl,withdraw from all Russian partnerships,Information Technology,United States,
Ejot,Withdrawl,Withdrew from Russia,Industrials,Germany,
Electronic Arts,Withdrawl,make new game purchases unavailable in Russia,Communication Services,United States,
Elisa Esports,Withdrawl,ban Russian teams from participating in tournaments,NGO,Finland,
ELKO Group,Withdrawl,leave Russia,Information Technology,Latvia,
Elopak,Withdrawl,Fully exit Russia after selling its operations,Materials,Norway,
Emerson Electric,Withdrawl,exit Russian business,Industrials,United States,
Endeavour Group,Withdrawl,Stop transacting with all Russian products,Consumer Staples,Australia,
Enel,Withdrawl,divest from the entire Russian stakes,Utilities,Italy,
ENEOS,Withdrawl,discontinue purchases of Russian crude,Energy,Japan,
Energizer,Withdrawl,Fully exit Russia after selling its operations,Industrials,United States,
EnerSys,Withdrawl,End Russian operations,Industrials,United States,
Eni,Withdrawl,suspend stipulation of new oil contracts; divest from investments for rubles,Energy,Italy,
EPAM,Withdrawl,discontinue servicing Russian customers,Information Technology,United States,
Equinor,Withdrawl,exit joint ventures in Russia,Energy,Norway,
Espersen,Withdrawl,Fully exit Russia after selling its operations,Consumer Staples,Denmark,
Etsy,Withdrawl,deactivate all listings from Russian sellers,Consumer Discretionary,United States,
Euroins,Withdrawl,Fully exit Russia after selling its operations,Financials,Bulgaria,
Eurovision,Withdrawl,ban on all Russian competition,NGO,United Kingdom,
Eversheds Sutherland,Withdrawl,close Russia office; transfer Russia practice to local partners and counsels,Industrials,United Kingdom,
Evonik,Withdrawl,withdraw from Russia,Materials,Germany,
Expedia,Withdrawl,Suspend bookings in Russia,Consumer Discretionary,United States,
Exxonmobil,Withdrawl,exit Rosneft partnership,Energy,United States,
EY,Withdrawl,leaving Russia completely,Industrials,United States,
Fantasy Premier League,Withdrawl,Suspend all users from Russia,Consumer Discretionary,United Kingdom,
Fazer,Withdrawl,exit Russia,Consumer Staples,Finland,
Fennovoima,Withdrawl,terminate Russian nuclear power plant project,Energy,Finland,
FICO,Withdrawl,exiting all work in Russia,Information Technology,United States,
Fiskars,Withdrawl,withdraw completely from the Russian market,Consumer Discretionary,Finland,
Five9,Withdrawl,Fully close all Russian operations,Information Technology,United States,
Flowserve,Withdrawl,exit Russia completely,Industrials,United States,
FMC Corporation,Withdrawl,discontinue all business and operations,Materials,United States,
Fonterra,Withdrawl,exit its businesses in Russia,Consumer Staples,New Zealand,
Ford,Withdrawl,Sold Joint Venture,Consumer Discretionary,United States,
Formula One,Withdrawl,terminate contract with the Russian Grand Prix promoter,Communication Services,United Kingdom,
Fortum,Withdrawl,exit Russian market,Utilities,Finland,
Freedom Holding,Withdrawl,Sold Russian subsidiaries,Financials,Kazakhstan,
Freshfields,Withdrawl,closing business in Russia,Industrials,United Kingdom,
Fugro,Withdrawl,suspend all projects in Russia,Industrials,Netherlands,
Fujifilm,Withdrawl,Suspended some shipments,Information Technology,Japan,
G2A,Withdrawl,block marketplace for Russian users,Communication Services,Netherlands,
Galp,Withdrawl,suspend Russian oil-product purchases; eliminate Russian exposure,Energy,Portugal,
Game Insight,Withdrawl,Fully liquidate Russian operations,Consumer Discretionary,Lithuania,
Gameloft,Withdrawl,make company's games unavailable in Russia,Information Technology,France,
Garmin,Withdrawl,stop all future trade with Russia,Consumer Discretionary,United States,
Gaz-System,Withdrawl,stopped gas imports,Utilities,Poland,
GC Rieber,Withdrawl,Fully end all Russian business,Industrials,Norway,
Geberit,Withdrawl,discontinue all operations in Russia,Industrials,Switzerland,
Gett,Withdrawl,Fully terminate all Russian business,Industrials,Israel,
Global Fashion Group,Withdrawl,Fully exit Russia after selling its operations,Consumer Discretionary,Luxembourg,
Global Foundries,Withdrawl,suspend all shipments to Russia,Information Technology,United States,
GM,Withdrawl,suspend all shipments to Russia,Consumer Discretionary,United States,
GoDaddy,Withdrawl,discontinue all Russian services,Information Technology,United States,
Goodvalley,Withdrawl,Fully exit Russia after selling its operations,Consumer Staples,Denmark,
Gowling,Withdrawl,Stopped business in Russia,Industrials,Canada,
Grant Thornton,Withdrawl,closing business in Russia,Industrials,United States,
Grid Dynamics,Withdrawl,close offices in Russia & cease all operations,Information Technology,United States,
Grundfos,Withdrawl,Closes business in Russia and Belarus,Industrials,Denmark,
H&M,Withdrawl,Winding down business entirely,Consumer Discretionary,Sweden,
Halewood,Withdrawl,Fully pull out of Russia,Consumer Staples,United Kingdom,
Halliburton,Withdrawl,No longer conducts operations in Russia,Energy,United States,
Halyk Bank,Withdrawl,Fully exit Russia after selling its operations,Financials,Kazakhstan,
Hampidjan,Withdrawl,full withdrawal,Industrials,Iceland,
Haniel,Withdrawl,unwind all Russian business,Materials,Germany,
Hansgrohe,Withdrawl,cease all activities with Russia,Consumer Discretionary,Germany,
Hard Rock Café,Withdrawl,fully close all stores in Russia,Consumer Staples,United States,
Harvia,Withdrawl,Withdrew from Russia,Consumer Discretionary,Finland,
Hays plc,Withdrawl,close Russian business,Industrials,United Kingdom,
Hearst Communications,Withdrawl,terminate the licensing agreements & turn over its equity to Russian subsidiary,Communication Services,United States,
Heidrick & Struggles,Withdrawl,ceased all operations in Russia,Industrials,United States,
Heinzmann,Withdrawl,End all Russian deliveries,Industrials,Germany,
Hempel,Withdrawl,exit Russia,Industrials,Denmark,
Henkel,Withdrawl,exit business activities in Russia,Consumer Staples,Germany,
Herbert Smith Freehills,Withdrawl,Ended operations in Russia; local partners and counsels open independent firm,Industrials,Australia,
Hertz,Withdrawl,completely withdrawn from Russia,Consumer Discretionary,United States,
Hesburger,Withdrawl,withdraw from Russia,Consumer Discretionary,Finland,
Hogan Lovells,Withdrawl,exit Russian operations,Industrials,United Kingdom,
Holcim,Withdrawl,exit Russian market completely,Materials,Switzerland,
Home Credit,Withdrawl,Fully exit Russia after selling its operations,Financials,Czech Republic,
Honeywell,Withdrawl,Wind down all business,Industrials,United States,
Hortex,Withdrawl,Fully exit Russia after selling its operations,Consumer Staples,Poland,
Houthoff,Withdrawl,terminate all relationships with Russia,Industrials,Netherlands,
HP Enterprise (Independent from HP Inc.),Withdrawl,exit Russia & Belarus,Information Technology,United States,
HP Inc.,Withdrawl,shut down business in Russia,Information Technology,United States,
Huhtamaki,Withdrawl,divest Russian operations,Materials,Finland,
Hypertherm Associates,Withdrawl,Fully close all Russian offices,Industrials,Netherlands,
Hyve,Withdrawl,Withdrew from Russia,Consumer Discretionary,United Kingdom,
IBM,Withdrawl,wind down business in Russia,Information Technology,United States,
Icosagen,Withdrawl,Ended business in Russia and Belarus,Industrials,Estonia,
IDEXX Labs,Withdrawl,wind down operations & liquidate subsidiary,Health Care,United States,
Ikea,Withdrawl,fold up Russian presence,Consumer Discretionary,Sweden,
IMAX,Withdrawl,Fully exit Russia,Consumer Discretionary,Canada,
IMCD,Withdrawl,withdraw from Russia completely,Industrials,Netherlands,
IMI Plc,Withdrawl,Withdrew from Russia,Materials,United Kingdom,
Imperial Brands,Withdrawl,transfer Russian business to local partners,Consumer Staples,United Kingdom,
Inchcape,Withdrawl,Withdrew from Russia,Industrials,United Kingdom,
Incoff Aerospace,Withdrawl,no longer trade with the Russians,Industrials,Slovakia,
Inditex,Withdrawl,close Russian stores and suspend sales,Consumer Discretionary,Spain,
Infineon,Withdrawl,liquidate Russian entity,Information Technology,Germany,
InPost,Withdrawl,stop purchasing services/goods from Russian & Belorussian companies,Industrials,Poland,
Insydium,Withdrawl,Forgo all Russian licenses,Industrials,United Kingdom,
Intercontinental Exchange,Withdrawl,curtail Russian access to capital markets,Financials,United States,
Intercontinental Hotels (IHG),Withdrawl,Ceased operations in Russia,Consumer Discretionary,United Kingdom,
International Biathlon Union,Withdrawl,Russians to compete as neutral athletes,NGO,Austria,
International Boxing Federation,Withdrawl,ban on all Russian competition,NGO,France,
International Cat Federation,Withdrawl,ban Russian cats from competitions,NGO,Canada,
International Cycling Union,Withdrawl,ban on all Russian competition,NGO,United States,
International Ice Hockey Federation,Withdrawl,ban on all Russian competition,NGO,Switzerland,
International Olympic Committee,Withdrawl,ban Russian athletes from competing,NGO,Switzerland,
International Paper,Withdrawl,Fully exit Russia after selling its operations,Materials,United States,
International Paralympic Committee,Withdrawl,bar Russian athletes,NGO,Germany,
International Skating Union,Withdrawl,ban on all Russian competition,NGO,Switzerland,
International Weightlifting Federation,Withdrawl,ban on all Russian competition,NGO,Switzerland,
Interpublic Group,Withdrawl,exit Russian operations,Communication Services,United States,
Intracom Telecom,Withdrawl,Withdrew from Russia,Communication Services,Greece,
Iponweb,Withdrawl,Withdrew from Russia,Communication Services,France,
ISS,Withdrawl,ISS divested its Russian activities during March and is no longer active in Russia,Industrials,Denmark,
Iveco,Withdrawl,Fully exit Russia after selling its operations,Industrials,Italy,
J Sainsbury,Withdrawl,remove products from Russia,Consumer Staples,United Kingdom,
Jabil,Withdrawl,closed its site in Russia,Information Technology,United States,
Jägermeister,Withdrawl,Fully stopped business in Russia,Consumer Staples,Germany,
Jamie Oliver,Withdrawl,exit franchise agreement,Consumer Staples,United Kingdom,
Jan de Nul,Withdrawl,close rep office and withdraw ships,Industrials,Luxembourg,
JD Sports,Withdrawl,suspend operations in Russia,Consumer Discretionary,United Kingdom,
JetBrains,Withdrawl,suspend all activity indefinitely,Information Technology,Czech Republic,
JLL,Withdrawl,separate operations in Russia,Real Estate,United States,
